               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1182,            0.060597,            0.028526,            0.003282,            0.028169,           0.0015728,          0.00031132,             0.11336,            0.043678,            0.027491,             0.00026,             0.00026,             0.09766
                   1,             0.11474,            0.060685,             0.02761,           0.0097528,           0.0070423,           0.0024045,          0.00050339,             0.10854,            0.044314,            0.026196,          0.00052995,          0.00052995,             0.09523
                   2,             0.10819,            0.062439,             0.02636,           0.0083307,             0.21197,           0.0056242,           0.0010682,            0.099516,            0.047227,            0.024727,          0.00079972,          0.00079972,              0.0928
                   3,             0.10104,            0.076345,            0.024712,            0.018485,            0.070423,             0.01034,           0.0019106,            0.090708,            0.049649,            0.023096,           0.0010692,           0.0010692,            0.090369
                   4,            0.093951,             0.07903,            0.023156,            0.070467,            0.098592,            0.033686,           0.0063455,            0.083063,            0.050355,            0.021405,           0.0013381,           0.0013381,            0.087938
                   5,            0.088426,             0.07625,            0.022289,             0.13918,             0.10563,            0.069154,            0.015507,            0.076748,            0.048676,            0.020036,           0.0016065,           0.0016065,            0.085506
                   6,             0.08268,            0.074429,            0.022688,             0.14739,             0.16197,             0.11321,            0.023995,            0.072337,            0.045715,             0.01912,           0.0018741,           0.0018741,            0.083074
                   7,             0.07861,            0.081563,            0.017802,             0.68765,             0.16197,             0.14917,              0.0378,            0.067733,            0.043132,            0.017699,           0.0021408,           0.0021408,            0.080641
                   8,            0.073187,             0.07153,            0.017489,             0.64754,             0.26056,             0.17712,            0.056346,            0.063941,            0.041034,            0.016951,           0.0024064,           0.0024064,            0.078206
                   9,            0.070116,            0.058557,            0.017791,             0.77716,             0.22887,             0.24406,            0.087634,            0.058789,            0.038264,            0.016643,           0.0026709,           0.0026709,            0.075771
                  10,            0.070256,            0.067821,            0.016009,             0.68493,             0.24387,             0.19267,            0.052989,            0.061055,            0.035759,            0.016514,           0.0029341,           0.0029341,            0.073334
                  11,            0.069656,             0.05469,            0.018838,             0.17553,             0.47289,             0.16405,            0.031462,            0.071637,            0.032457,            0.016592,           0.0031959,           0.0031959,            0.070896
                  12,            0.072179,            0.051101,            0.017247,              0.2179,             0.49565,             0.28439,             0.10951,            0.060303,            0.033622,            0.016813,            0.003456,            0.003456,            0.068456
                  13,            0.068162,            0.054488,            0.017765,             0.16751,             0.50493,             0.16143,            0.039994,            0.074606,            0.029983,            0.016651,           0.0037144,           0.0037144,            0.066014
                  14,            0.076395,            0.044281,            0.018087,              0.1783,             0.46972,             0.18246,            0.038299,            0.072863,            0.030284,            0.016835,            0.003971,            0.003971,            0.063571
                  15,             0.07265,            0.055193,            0.017134,             0.26031,             0.46232,             0.15698,            0.041631,             0.07372,            0.029455,            0.016338,           0.0042256,           0.0042256,            0.061126
                  16,            0.075914,             0.05086,              0.0169,             0.28412,             0.47676,             0.23044,            0.077634,            0.074345,            0.027402,            0.016471,           0.0044781,           0.0044781,            0.058678
                  17,            0.072571,            0.043238,            0.016754,             0.26377,             0.51585,             0.29956,            0.095724,            0.065263,            0.029089,            0.016278,           0.0047283,           0.0047283,            0.056228
                  18,            0.067867,            0.056747,            0.015643,             0.20695,             0.52606,             0.26216,            0.086225,             0.06833,             0.02764,            0.015846,           0.0049762,           0.0049762,            0.053776
                  19,            0.069946,            0.044192,            0.016343,             0.42627,             0.44763,             0.23893,            0.064859,            0.064405,            0.027638,            0.016016,           0.0052215,           0.0052215,            0.051322
                  20,            0.069246,            0.044208,            0.014757,             0.19616,             0.57144,             0.20978,            0.052947,            0.067868,            0.027285,            0.015863,           0.0054643,           0.0054643,            0.048864
                  21,            0.068881,             0.05676,            0.016248,             0.36801,             0.46197,             0.28364,            0.080254,            0.067078,            0.026933,            0.016017,           0.0057042,           0.0057042,            0.046404
                  22,            0.067812,            0.053498,            0.017588,             0.23179,             0.56866,             0.32002,            0.092065,            0.060807,            0.027261,            0.015916,           0.0059414,           0.0059414,            0.043941
                  23,            0.068327,            0.045326,            0.015152,             0.17718,             0.63627,             0.28758,             0.10341,            0.060587,            0.027135,            0.016471,           0.0061755,           0.0061755,            0.041475
                  24,            0.059442,            0.049257,            0.017624,             0.76896,             0.34507,             0.33121,             0.12759,            0.057616,            0.026928,            0.016151,           0.0064065,           0.0064065,            0.039007
                  25,             0.06501,            0.044352,            0.015706,              0.2187,             0.50141,             0.29881,             0.12881,            0.060276,            0.027156,            0.016216,           0.0066343,           0.0066343,            0.036534
                  26,            0.057417,             0.05896,            0.016452,             0.24511,             0.60458,             0.34611,             0.13836,            0.052907,            0.026932,            0.016022,           0.0068588,           0.0068588,            0.034059
                  27,            0.055219,            0.050239,             0.01839,             0.80926,             0.30282,             0.33869,             0.13919,            0.055745,            0.027609,            0.015998,           0.0070799,           0.0070799,             0.03158
                  28,            0.059157,            0.051363,            0.017744,             0.79589,              0.3169,             0.34577,              0.1165,            0.055517,            0.026361,              0.0162,           0.0072974,           0.0072974,            0.029097
                  29,            0.065316,            0.048986,             0.01779,             0.27319,              0.4338,             0.27484,            0.072612,            0.060612,            0.026308,            0.017187,           0.0075112,           0.0075112,            0.026611
                  30,            0.068097,            0.043221,             0.01669,             0.26804,             0.54754,             0.33969,             0.12343,             0.06109,            0.025619,            0.016865,           0.0077214,           0.0077214,            0.024121
                  31,            0.072989,            0.043164,            0.016262,             0.25087,             0.54401,             0.28981,             0.11363,            0.071121,            0.025279,            0.016483,           0.0079276,           0.0079276,            0.021628
                  32,             0.07156,            0.048532,            0.016706,             0.47447,             0.49297,              0.3554,              0.1105,            0.055681,            0.026464,            0.016444,           0.0081299,           0.0081299,             0.01913
                  33,             0.06052,            0.050463,            0.016005,             0.24732,             0.57254,             0.33375,             0.10876,            0.057721,            0.026021,            0.016327,           0.0083282,           0.0083282,            0.016628
                  34,            0.060901,            0.053582,            0.016358,             0.31735,              0.5081,             0.31259,            0.096656,            0.064098,             0.02527,            0.016141,           0.0085224,           0.0085224,            0.014122
                  35,            0.060497,            0.046256,            0.017023,             0.15702,             0.40563,              0.1577,            0.046579,            0.077804,            0.027137,             0.01661,           0.0087124,           0.0087124,            0.011612
                  36,            0.073941,            0.064411,            0.015878,             0.69499,             0.28814,             0.20099,            0.068657,            0.064173,            0.029069,            0.017068,            0.008898,            0.008898,            0.009098
                  37,            0.066331,            0.067336,            0.015855,             0.20953,              0.4588,              0.2879,             0.11478,            0.059266,            0.027804,            0.016846,           0.0088579,           0.0088579,           0.0088579
                  38,            0.062263,            0.051942,            0.014918,             0.27552,             0.56901,             0.35715,             0.15612,            0.059248,            0.026045,            0.015859,           0.0088579,           0.0088579,           0.0088579
                  39,            0.061454,            0.048913,            0.014578,             0.76899,             0.34155,             0.35533,             0.12924,            0.060383,            0.026147,            0.015801,           0.0087987,           0.0087987,           0.0087987
                  40,             0.06924,            0.051695,            0.014501,             0.28838,              0.6257,             0.41724,             0.16085,            0.066174,            0.024585,            0.015933,           0.0087382,           0.0087382,           0.0087382
                  41,            0.065233,            0.040653,            0.016168,             0.23877,             0.61514,             0.34137,             0.13587,            0.063053,             0.02544,            0.016619,           0.0086765,           0.0086765,           0.0086765
                  42,            0.059684,            0.042232,            0.015009,             0.86962,             0.30986,              0.4114,             0.21055,            0.056438,            0.025705,            0.016843,           0.0086137,           0.0086137,           0.0086137
                  43,            0.059053,            0.043651,            0.014327,             0.24671,             0.60458,             0.39427,             0.12915,            0.057861,            0.026062,            0.016644,           0.0085497,           0.0085497,           0.0085497
                  44,            0.055684,            0.042917,            0.014676,             0.45984,             0.45141,             0.42104,             0.15481,            0.057085,            0.024554,            0.016341,           0.0084846,           0.0084846,           0.0084846
                  45,            0.059551,            0.045331,            0.014285,             0.30675,             0.59378,             0.43301,             0.15091,            0.054645,            0.024275,            0.015939,           0.0084184,           0.0084184,           0.0084184
                  46,            0.061258,            0.048299,            0.015186,             0.29876,             0.52993,             0.39956,             0.18736,            0.056416,            0.024635,            0.015763,           0.0083511,           0.0083511,           0.0083511
                  47,             0.06197,            0.054757,            0.015281,             0.26434,              0.5831,             0.37205,             0.12469,            0.055084,            0.025101,            0.015778,           0.0082829,           0.0082829,           0.0082829
                  48,            0.052129,            0.039239,            0.013195,              0.3323,             0.51425,             0.43522,             0.18475,            0.047675,            0.024683,            0.015434,           0.0082136,           0.0082136,           0.0082136
                  49,            0.054586,            0.041756,            0.015331,             0.34647,              0.5831,             0.41739,             0.14159,            0.051254,            0.024368,            0.015786,           0.0081433,           0.0081433,           0.0081433
                  50,            0.055767,            0.041358,            0.014028,             0.31542,             0.59014,             0.35347,             0.11799,             0.05527,            0.024923,            0.015637,           0.0080721,           0.0080721,           0.0080721
                  51,            0.050048,             0.04213,            0.014683,             0.34921,              0.6257,             0.46921,             0.21121,            0.043053,            0.025365,            0.015429,               0.008,               0.008,               0.008
                  52,            0.045091,            0.043173,             0.01219,             0.40422,             0.62923,             0.51096,             0.22469,            0.040563,             0.02497,            0.015323,            0.007927,            0.007927,            0.007927
                  53,            0.042252,            0.046823,            0.013554,                0.44,             0.51162,             0.47965,             0.23352,            0.042298,            0.024726,            0.015232,           0.0078532,           0.0078532,           0.0078532
                  54,            0.043462,             0.04244,            0.013506,             0.44566,              0.6135,             0.53154,             0.26534,            0.042975,            0.024666,            0.014756,           0.0077785,           0.0077785,           0.0077785
                  55,            0.047983,            0.045686,            0.014261,             0.42196,             0.63015,             0.52106,             0.25439,            0.041093,             0.02427,            0.014861,           0.0077031,           0.0077031,           0.0077031
                  56,             0.05124,            0.042872,            0.014588,             0.38243,             0.60106,             0.49419,             0.25258,            0.042311,            0.025028,            0.015132,           0.0076269,           0.0076269,           0.0076269
                  57,            0.041644,             0.04298,            0.012404,             0.47445,             0.59049,             0.49097,             0.21633,            0.041441,            0.024497,             0.01522,           0.0075501,           0.0075501,           0.0075501
                  58,            0.042298,            0.042788,            0.012459,             0.46635,             0.62606,             0.48508,             0.25252,            0.039325,            0.024683,            0.015318,           0.0074725,           0.0074725,           0.0074725
                  59,            0.043207,            0.042449,            0.011855,             0.47306,             0.63662,             0.52735,             0.28799,            0.038638,            0.024636,            0.014767,           0.0073943,           0.0073943,           0.0073943
                  60,            0.042705,            0.042819,            0.011416,             0.39834,              0.7007,             0.52393,             0.25368,            0.041289,             0.02477,            0.014588,           0.0073155,           0.0073155,           0.0073155
                  61,            0.039695,            0.046024,            0.010852,             0.45391,              0.5831,             0.52877,             0.29521,            0.036616,            0.023928,             0.01476,           0.0072361,           0.0072361,           0.0072361
                  62,            0.038341,             0.04133,            0.010708,             0.41427,             0.68232,             0.51235,             0.27839,            0.037634,            0.024206,            0.014719,           0.0071561,           0.0071561,           0.0071561
                  63,            0.037887,            0.041099,             0.01057,             0.45938,             0.69014,             0.53914,             0.27922,            0.038708,            0.024598,            0.014936,           0.0070757,           0.0070757,           0.0070757
                  64,            0.035099,            0.035866,            0.010533,             0.44096,             0.70662,             0.53429,             0.30221,             0.03661,            0.024603,            0.014973,           0.0069948,           0.0069948,           0.0069948
                  65,            0.039423,             0.03888,            0.011939,             0.46947,             0.66901,             0.53594,              0.2885,            0.039058,            0.024637,            0.014689,           0.0069134,           0.0069134,           0.0069134
                  66,            0.041986,            0.044903,           0.0096614,               0.471,             0.70756,             0.52304,             0.29511,            0.039401,            0.024087,            0.014643,           0.0068316,           0.0068316,           0.0068316
                  67,            0.041719,            0.043336,           0.0099394,             0.48144,             0.68954,             0.52605,             0.29904,            0.039226,            0.024559,            0.014081,           0.0067495,           0.0067495,           0.0067495
                  68,            0.040412,            0.039013,            0.010438,             0.47861,             0.66549,             0.54162,             0.27582,            0.038555,            0.024737,            0.013972,           0.0066671,           0.0066671,           0.0066671
                  69,            0.040151,            0.040429,           0.0097884,             0.50145,              0.6018,             0.52475,             0.26959,            0.040338,            0.024292,            0.013941,           0.0065843,           0.0065843,           0.0065843
                  70,            0.040013,            0.045772,            0.008437,              0.4665,             0.73133,             0.54539,              0.3195,            0.037268,            0.023868,            0.013387,           0.0065013,           0.0065013,           0.0065013
                  71,            0.034671,            0.038635,           0.0091967,             0.43244,             0.74014,             0.54288,             0.32767,            0.033834,            0.024213,            0.013204,           0.0064181,           0.0064181,           0.0064181
                  72,            0.034304,            0.041219,           0.0091878,              0.5007,             0.62218,             0.58663,             0.34733,            0.036235,            0.024465,             0.01266,           0.0063347,           0.0063347,           0.0063347
                  73,            0.034597,            0.043228,           0.0087788,             0.56425,             0.66265,             0.59769,             0.34664,            0.035548,            0.023952,             0.01253,           0.0062512,           0.0062512,           0.0062512
                  74,            0.035715,            0.041077,           0.0091216,             0.56592,             0.72958,             0.60169,             0.36783,            0.034604,            0.023605,            0.012513,           0.0061675,           0.0061675,           0.0061675
                  75,            0.040458,            0.042609,           0.0075632,             0.60642,             0.66549,             0.61178,             0.33443,            0.037618,            0.024027,            0.012632,           0.0060838,           0.0060838,           0.0060838
                  76,            0.039299,            0.051195,           0.0080368,             0.59708,             0.64789,             0.59975,             0.35133,            0.036746,            0.024097,            0.012969,               0.006,               0.006,               0.006
                  77,            0.036612,            0.040782,            0.007375,             0.58254,              0.7147,             0.62208,             0.36179,            0.034668,             0.02347,            0.012882,           0.0059162,           0.0059162,           0.0059162
                  78,            0.034701,            0.033663,           0.0070627,             0.60351,             0.66141,             0.59342,             0.33548,            0.035818,            0.024143,             0.01291,           0.0058325,           0.0058325,           0.0058325
                  79,            0.035741,            0.040313,           0.0078365,             0.56671,             0.74697,             0.62197,             0.34611,            0.037291,            0.024275,            0.012531,           0.0057488,           0.0057488,           0.0057488
                  80,            0.033289,            0.033967,           0.0062216,             0.53777,             0.78603,             0.61512,             0.37008,            0.033869,            0.024063,               0.012,           0.0056653,           0.0056653,           0.0056653
                  81,            0.032632,            0.040462,            0.006125,             0.51317,             0.81162,             0.62072,             0.38027,            0.033809,            0.024334,            0.011878,           0.0055819,           0.0055819,           0.0055819
                  82,            0.032463,            0.035656,           0.0068165,             0.74707,             0.49824,             0.61214,             0.38158,             0.03574,            0.024749,            0.012823,           0.0054987,           0.0054987,           0.0054987
                  83,            0.033635,            0.038755,           0.0058124,             0.56612,             0.66695,              0.6064,              0.3759,            0.035229,            0.025347,            0.012976,           0.0054157,           0.0054157,           0.0054157
                  84,            0.035011,            0.037296,           0.0073057,             0.60819,             0.68701,             0.62481,             0.38373,            0.033998,            0.024711,            0.013099,           0.0053329,           0.0053329,           0.0053329
                  85,            0.032809,            0.031487,           0.0049455,             0.65404,             0.63028,             0.64894,             0.40123,            0.034804,            0.024167,            0.013193,           0.0052505,           0.0052505,           0.0052505
                  86,            0.032976,            0.043329,           0.0056106,             0.62287,             0.66972,             0.59362,             0.35979,            0.035314,            0.025443,            0.013365,           0.0051684,           0.0051684,           0.0051684
                  87,            0.033001,            0.042275,           0.0053057,             0.66533,             0.61946,             0.62006,              0.3971,            0.033403,            0.025481,             0.01256,           0.0050866,           0.0050866,           0.0050866
                  88,            0.035803,            0.046204,           0.0052961,             0.68413,             0.57324,             0.66256,             0.34878,            0.037229,            0.025289,            0.011025,           0.0050052,           0.0050052,           0.0050052
                  89,            0.036009,             0.04337,           0.0050611,             0.52552,             0.70141,             0.63437,             0.36836,            0.035016,            0.025513,            0.011248,           0.0049243,           0.0049243,           0.0049243
                  90,            0.032344,            0.037509,           0.0049853,             0.55274,             0.69437,             0.64978,             0.39672,            0.033833,            0.025154,            0.011303,           0.0048439,           0.0048439,           0.0048439
                  91,            0.033038,            0.036474,           0.0045397,             0.52832,             0.77798,             0.65428,             0.40158,            0.035083,            0.024537,             0.01168,           0.0047639,           0.0047639,           0.0047639
                  92,             0.03184,            0.040685,           0.0048118,             0.55817,             0.75141,             0.66938,              0.4061,            0.034356,            0.024014,            0.011853,           0.0046845,           0.0046845,           0.0046845
                  93,            0.030807,            0.040485,           0.0049322,             0.56286,             0.76434,              0.6674,             0.41326,            0.033353,            0.024334,            0.011553,           0.0046057,           0.0046057,           0.0046057
                  94,            0.029928,            0.034666,           0.0043166,             0.56258,             0.77235,             0.66809,              0.4166,            0.033848,            0.023861,            0.011578,           0.0045275,           0.0045275,           0.0045275
                  95,            0.031372,            0.030906,            0.003555,             0.57724,             0.76549,             0.67997,             0.42479,            0.034486,            0.024228,             0.01155,           0.0044499,           0.0044499,           0.0044499
                  96,            0.029139,            0.034773,           0.0042313,             0.61072,             0.71389,             0.68416,             0.42903,            0.032656,            0.024284,            0.011484,           0.0043731,           0.0043731,           0.0043731
                  97,            0.029828,            0.034951,           0.0038079,             0.57469,             0.80493,             0.67632,             0.42834,            0.032071,            0.024039,            0.011268,           0.0042969,           0.0042969,           0.0042969
                  98,            0.029877,            0.038435,           0.0036903,             0.66015,             0.73028,             0.69561,             0.42639,            0.032716,            0.024479,            0.011286,           0.0042215,           0.0042215,           0.0042215
                  99,            0.029961,            0.040013,            0.003543,             0.60274,             0.78259,             0.68735,             0.42363,            0.032304,            0.024465,            0.010613,           0.0041468,           0.0041468,           0.0041468
                 100,            0.029617,            0.033847,           0.0037393,             0.65032,             0.68732,             0.69249,             0.43261,            0.032159,            0.024642,            0.010645,            0.004073,            0.004073,            0.004073
                 101,            0.032019,            0.035485,           0.0033467,             0.67189,             0.72676,             0.70551,             0.39896,            0.035184,             0.02554,            0.010704,               0.004,               0.004,               0.004
                 102,            0.030799,            0.034767,           0.0040233,             0.59935,             0.82884,             0.68623,             0.41739,            0.033766,             0.02588,            0.010576,           0.0039279,           0.0039279,           0.0039279
                 103,            0.029761,             0.03253,           0.0031074,             0.59665,             0.80476,             0.68292,              0.4152,            0.032575,            0.025324,            0.010872,           0.0038567,           0.0038567,           0.0038567
                 104,            0.029516,            0.031119,           0.0030891,              0.6412,             0.74085,             0.67826,             0.41147,            0.033777,            0.024868,            0.010893,           0.0037864,           0.0037864,           0.0037864
                 105,            0.030027,            0.037742,           0.0032479,             0.62085,             0.71835,             0.66924,             0.40018,             0.03293,            0.024451,            0.010911,           0.0037171,           0.0037171,           0.0037171
                 106,            0.029692,             0.03798,           0.0039653,              0.6004,             0.77641,             0.65691,             0.39928,             0.03228,            0.024675,            0.011155,           0.0036489,           0.0036489,           0.0036489
                 107,            0.029049,             0.03422,           0.0030552,             0.59565,             0.80834,             0.66849,             0.40021,            0.033076,            0.024464,             0.01092,           0.0035816,           0.0035816,           0.0035816
                 108,            0.029522,            0.042825,           0.0034365,             0.62691,             0.80128,             0.68434,             0.41854,            0.031779,              0.0241,            0.010312,           0.0035154,           0.0035154,           0.0035154
                 109,            0.027127,            0.031429,           0.0027341,              0.7027,             0.78486,             0.72315,             0.42454,            0.032637,            0.024517,           0.0096404,           0.0034503,           0.0034503,           0.0034503
                 110,            0.028278,            0.031285,           0.0036429,             0.75012,             0.78285,             0.74828,             0.43642,            0.033101,            0.024693,           0.0093954,           0.0033863,           0.0033863,           0.0033863
                 111,            0.029225,             0.03622,           0.0030872,             0.71418,             0.75517,             0.73723,             0.43552,             0.03294,            0.024971,           0.0088824,           0.0033235,           0.0033235,           0.0033235
                 112,            0.027188,            0.035036,           0.0030036,             0.66919,             0.77264,             0.71304,             0.42131,            0.032909,            0.024842,           0.0085654,           0.0032618,           0.0032618,           0.0032618
                 113,            0.027157,            0.030396,           0.0029883,             0.68969,             0.77289,             0.71548,             0.42828,            0.032241,            0.024691,           0.0084188,           0.0032013,           0.0032013,           0.0032013
                 114,            0.028256,            0.042125,           0.0032849,             0.60723,             0.80493,             0.69529,             0.42456,             0.03251,            0.025094,           0.0088106,           0.0031421,           0.0031421,           0.0031421
                 115,            0.026947,            0.032323,             0.00288,             0.68111,             0.73732,             0.70975,             0.43464,            0.031928,             0.02495,           0.0091765,           0.0030841,           0.0030841,           0.0030841
                 116,            0.026608,            0.030837,           0.0036877,             0.74161,             0.77324,             0.71422,             0.43353,             0.03184,            0.025252,            0.009835,           0.0030274,           0.0030274,           0.0030274
                 117,            0.027912,            0.034907,           0.0052987,             0.75845,              0.7662,             0.72319,             0.42246,            0.032251,            0.025365,            0.010633,            0.002972,            0.002972,            0.002972
                 118,             0.02496,            0.031224,           0.0027928,              0.7762,             0.76361,             0.71337,             0.43239,            0.031845,            0.025109,           0.0099667,           0.0029179,           0.0029179,           0.0029179
                 119,            0.026374,            0.030666,           0.0025044,             0.75697,             0.75121,             0.71034,             0.42353,            0.032609,            0.025453,           0.0095015,           0.0028652,           0.0028652,           0.0028652
                 120,            0.027418,            0.030029,           0.0027632,             0.73375,             0.73318,             0.72642,             0.42933,             0.03276,            0.025622,           0.0089872,           0.0028139,           0.0028139,           0.0028139
                 121,            0.027131,            0.033789,           0.0025377,             0.74292,             0.70176,              0.7257,             0.43626,            0.032873,            0.025712,           0.0087364,           0.0027639,           0.0027639,           0.0027639
                 122,            0.025024,            0.030694,           0.0023961,             0.76878,             0.67676,             0.72834,             0.43786,            0.032676,            0.025933,           0.0086441,           0.0027154,           0.0027154,           0.0027154
                 123,            0.029012,            0.033162,           0.0022718,             0.74171,              0.7565,             0.75937,             0.40848,              0.0354,            0.026628,           0.0086632,           0.0026683,           0.0026683,           0.0026683
                 124,            0.030355,            0.034989,           0.0026818,              0.8883,             0.63436,             0.73849,             0.42357,            0.033449,            0.026266,           0.0086986,           0.0026227,           0.0026227,           0.0026227
                 125,            0.027502,            0.032578,            0.001997,             0.73162,             0.81937,             0.76541,             0.46021,            0.032306,            0.025684,           0.0087609,           0.0025785,           0.0025785,           0.0025785
                 126,             0.02576,            0.030066,           0.0030257,             0.80069,             0.72676,             0.75877,             0.46381,            0.031971,            0.025447,           0.0087306,           0.0025359,           0.0025359,           0.0025359
                 127,            0.026412,            0.030227,           0.0025808,             0.82362,             0.73009,             0.76624,             0.45441,            0.032646,            0.025638,           0.0086025,           0.0024948,           0.0024948,           0.0024948
                 128,            0.025736,            0.032951,            0.002972,             0.73587,             0.76584,             0.75748,             0.46839,            0.031493,            0.025052,           0.0081314,           0.0024552,           0.0024552,           0.0024552
                 129,            0.025974,            0.033933,           0.0025766,             0.77427,             0.74085,             0.74962,             0.46446,            0.031639,            0.025334,           0.0079798,           0.0024172,           0.0024172,           0.0024172
                 130,            0.025962,            0.034042,           0.0032684,             0.76059,             0.73732,             0.74924,              0.4671,            0.031472,            0.025513,           0.0084505,           0.0023807,           0.0023807,           0.0023807
                 131,            0.024433,            0.030082,           0.0026067,             0.75401,             0.75876,              0.7351,             0.46148,             0.03108,            0.025392,           0.0086783,           0.0023458,           0.0023458,           0.0023458
                 132,            0.025362,             0.03426,           0.0023434,             0.73347,             0.73028,             0.71721,             0.44852,            0.031284,            0.025581,            0.008783,           0.0023125,           0.0023125,           0.0023125
                 133,            0.025893,            0.032815,           0.0026278,             0.74517,             0.72994,             0.71513,              0.4403,            0.031254,            0.025362,           0.0087154,           0.0022809,           0.0022809,           0.0022809
                 134,            0.024981,            0.030321,            0.001942,             0.76916,             0.72866,             0.72746,             0.44057,            0.031493,            0.025742,           0.0086705,           0.0022509,           0.0022509,           0.0022509
                 135,             0.02483,            0.033012,           0.0024362,             0.77174,             0.72851,             0.74547,             0.46501,            0.030874,            0.025536,           0.0085736,           0.0022225,           0.0022225,           0.0022225
                 136,             0.02543,            0.033497,           0.0028698,              0.7746,             0.72629,             0.75293,             0.47731,            0.030911,            0.025567,           0.0083291,           0.0021958,           0.0021958,           0.0021958
                 137,            0.023979,            0.028712,           0.0020951,             0.78324,             0.71603,             0.74898,              0.4423,            0.032349,            0.026239,           0.0085782,           0.0021707,           0.0021707,           0.0021707
                 138,            0.025019,            0.029911,           0.0021791,             0.79426,             0.74362,             0.76077,             0.45874,            0.031805,            0.026467,           0.0084512,           0.0021473,           0.0021473,           0.0021473
                 139,             0.02647,            0.033849,           0.0026382,             0.76858,             0.77996,             0.76268,             0.45024,            0.032939,            0.026715,            0.008148,           0.0021257,           0.0021257,           0.0021257
                 140,            0.025123,             0.02867,           0.0023509,             0.81685,             0.77325,             0.77682,             0.47569,            0.031868,             0.02593,            0.007702,           0.0021057,           0.0021057,           0.0021057
                 141,            0.025728,            0.035091,           0.0022071,             0.80865,             0.77676,             0.76847,             0.48518,            0.031156,            0.025946,           0.0076213,           0.0020874,           0.0020874,           0.0020874
                 142,            0.026601,            0.036187,           0.0026034,             0.77122,             0.78003,             0.75054,              0.4687,             0.03197,            0.026452,           0.0078182,           0.0020709,           0.0020709,           0.0020709
                 143,            0.025927,            0.032817,           0.0020891,             0.71388,             0.75176,              0.7415,             0.46247,            0.031433,            0.025637,           0.0080591,            0.002056,            0.002056,            0.002056
                 144,            0.026309,            0.037714,           0.0023302,             0.73184,             0.70124,             0.73944,             0.46702,            0.031423,            0.025804,           0.0083216,           0.0020429,           0.0020429,           0.0020429
                 145,            0.024883,            0.031803,           0.0020506,             0.72677,             0.70528,             0.73933,             0.46307,            0.031486,            0.026089,           0.0082605,           0.0020315,           0.0020315,           0.0020315
                 146,            0.024746,            0.034794,           0.0022488,             0.80732,             0.65176,             0.73675,             0.44897,            0.031975,            0.026578,           0.0081452,           0.0020219,           0.0020219,           0.0020219
                 147,            0.026719,            0.038443,           0.0024172,             0.70396,              0.7307,             0.73044,             0.44985,            0.032159,            0.026452,           0.0084418,            0.002014,            0.002014,            0.002014
                 148,             0.02581,            0.034303,           0.0023443,             0.69398,             0.73028,             0.71891,             0.45815,            0.031759,            0.026519,           0.0084552,           0.0020079,           0.0020079,           0.0020079
                 149,            0.026505,            0.031591,           0.0024895,             0.72382,             0.73952,             0.74482,             0.43959,            0.033322,            0.026669,           0.0085181,           0.0020035,           0.0020035,           0.0020035
